filename,path,source,city,grid,split,data_type,terrain
DC_07_30_RGB.h5,data\GAMUS\images\train\DC_07_30_RGB.h5,GAMUS,DC,07_30,train,images,government_urban
DC_07_31_RGB.h5,data\GAMUS\images\train\DC_07_31_RGB.h5,GAMUS,DC,07_31,train,images,government_urban
DC_08_17_RGB.h5,data\GAMUS\images\train\DC_08_17_RGB.h5,GAMUS,DC,08_17,train,images,government_urban
DC_08_18_RGB.h5,data\GAMUS\images\train\DC_08_18_RGB.h5,GAMUS,DC,08_18,train,images,government_urban
DC_08_19_RGB.h5,data\GAMUS\images\train\DC_08_19_RGB.h5,GAMUS,DC,08_19,train,images,government_urban
DC_08_20_RGB.h5,data\GAMUS\images\train\DC_08_20_RGB.h5,GAMUS,DC,08_20,train,images,government_urban
DC_08_21_RGB.h5,data\GAMUS\images\train\DC_08_21_RGB.h5,GAMUS,DC,08_21,train,images,government_urban
DC_08_28_RGB.h5,data\GAMUS\images\train\DC_08_28_RGB.h5,GAMUS,DC,08_28,train,images,government_urban
DC_08_29_RGB.h5,data\GAMUS\images\train\DC_08_29_RGB.h5,GAMUS,DC,08_29,train,images,government_urban
DC_08_30_RGB.h5,data\GAMUS\images\train\DC_08_30_RGB.h5,GAMUS,DC,08_30,train,images,government_urban
DC_08_32_RGB.h5,data\GAMUS\images\train\DC_08_32_RGB.h5,GAMUS,DC,08_32,train,images,government_urban
DC_09_17_RGB.h5,data\GAMUS\images\train\DC_09_17_RGB.h5,GAMUS,DC,09_17,train,images,government_urban
DC_09_19_RGB.h5,data\GAMUS\images\train\DC_09_19_RGB.h5,GAMUS,DC,09_19,train,images,government_urban
DC_09_20_RGB.h5,data\GAMUS\images\train\DC_09_20_RGB.h5,GAMUS,DC,09_20,train,images,government_urban
DC_09_21_RGB.h5,data\GAMUS\images\train\DC_09_21_RGB.h5,GAMUS,DC,09_21,train,images,government_urban
DC_09_27_RGB.h5,data\GAMUS\images\train\DC_09_27_RGB.h5,GAMUS,DC,09_27,train,images,government_urban
DC_09_28_RGB.h5,data\GAMUS\images\train\DC_09_28_RGB.h5,GAMUS,DC,09_28,train,images,government_urban
DC_09_30_RGB.h5,data\GAMUS\images\train\DC_09_30_RGB.h5,GAMUS,DC,09_30,train,images,government_urban
DC_09_31_RGB.h5,data\GAMUS\images\train\DC_09_31_RGB.h5,GAMUS,DC,09_31,train,images,government_urban
DC_10_16_RGB.h5,data\GAMUS\images\train\DC_10_16_RGB.h5,GAMUS,DC,10_16,train,images,government_urban
DC_10_17_RGB.h5,data\GAMUS\images\train\DC_10_17_RGB.h5,GAMUS,DC,10_17,train,images,government_urban
DC_10_18_RGB.h5,data\GAMUS\images\train\DC_10_18_RGB.h5,GAMUS,DC,10_18,train,images,government_urban
DC_10_19_RGB.h5,data\GAMUS\images\train\DC_10_19_RGB.h5,GAMUS,DC,10_19,train,images,government_urban
DC_10_21_RGB.h5,data\GAMUS\images\train\DC_10_21_RGB.h5,GAMUS,DC,10_21,train,images,government_urban
DC_10_27_RGB.h5,data\GAMUS\images\train\DC_10_27_RGB.h5,GAMUS,DC,10_27,train,images,government_urban
DC_10_28_RGB.h5,data\GAMUS\images\train\DC_10_28_RGB.h5,GAMUS,DC,10_28,train,images,government_urban
DC_10_31_RGB.h5,data\GAMUS\images\train\DC_10_31_RGB.h5,GAMUS,DC,10_31,train,images,government_urban
DC_10_32_RGB.h5,data\GAMUS\images\train\DC_10_32_RGB.h5,GAMUS,DC,10_32,train,images,government_urban
DC_10_33_RGB.h5,data\GAMUS\images\train\DC_10_33_RGB.h5,GAMUS,DC,10_33,train,images,government_urban
DC_10_34_RGB.h5,data\GAMUS\images\train\DC_10_34_RGB.h5,GAMUS,DC,10_34,train,images,government_urban
DC_11_17_RGB.h5,data\GAMUS\images\train\DC_11_17_RGB.h5,GAMUS,DC,11_17,train,images,government_urban
DC_11_18_RGB.h5,data\GAMUS\images\train\DC_11_18_RGB.h5,GAMUS,DC,11_18,train,images,government_urban
DC_11_20_RGB.h5,data\GAMUS\images\train\DC_11_20_RGB.h5,GAMUS,DC,11_20,train,images,government_urban
DC_11_21_RGB.h5,data\GAMUS\images\train\DC_11_21_RGB.h5,GAMUS,DC,11_21,train,images,government_urban
DC_11_27_RGB.h5,data\GAMUS\images\train\DC_11_27_RGB.h5,GAMUS,DC,11_27,train,images,government_urban
DC_11_28_RGB.h5,data\GAMUS\images\train\DC_11_28_RGB.h5,GAMUS,DC,11_28,train,images,government_urban
DC_11_29_RGB.h5,data\GAMUS\images\train\DC_11_29_RGB.h5,GAMUS,DC,11_29,train,images,government_urban
DC_11_30_RGB.h5,data\GAMUS\images\train\DC_11_30_RGB.h5,GAMUS,DC,11_30,train,images,government_urban
DC_11_35_RGB.h5,data\GAMUS\images\train\DC_11_35_RGB.h5,GAMUS,DC,11_35,train,images,government_urban
DC_12_14_RGB.h5,data\GAMUS\images\train\DC_12_14_RGB.h5,GAMUS,DC,12_14,train,images,government_urban
DC_12_16_RGB.h5,data\GAMUS\images\train\DC_12_16_RGB.h5,GAMUS,DC,12_16,train,images,government_urban
DC_12_18_RGB.h5,data\GAMUS\images\train\DC_12_18_RGB.h5,GAMUS,DC,12_18,train,images,government_urban
DC_12_19_RGB.h5,data\GAMUS\images\train\DC_12_19_RGB.h5,GAMUS,DC,12_19,train,images,government_urban
DC_12_21_RGB.h5,data\GAMUS\images\train\DC_12_21_RGB.h5,GAMUS,DC,12_21,train,images,government_urban
DC_12_25_RGB.h5,data\GAMUS\images\train\DC_12_25_RGB.h5,GAMUS,DC,12_25,train,images,government_urban
DC_12_26_RGB.h5,data\GAMUS\images\train\DC_12_26_RGB.h5,GAMUS,DC,12_26,train,images,government_urban
DC_12_28_RGB.h5,data\GAMUS\images\train\DC_12_28_RGB.h5,GAMUS,DC,12_28,train,images,government_urban
DC_12_29_RGB.h5,data\GAMUS\images\train\DC_12_29_RGB.h5,GAMUS,DC,12_29,train,images,government_urban
DC_12_30_RGB.h5,data\GAMUS\images\train\DC_12_30_RGB.h5,GAMUS,DC,12_30,train,images,government_urban
DC_12_31_RGB.h5,data\GAMUS\images\train\DC_12_31_RGB.h5,GAMUS,DC,12_31,train,images,government_urban
DC_12_32_RGB.h5,data\GAMUS\images\train\DC_12_32_RGB.h5,GAMUS,DC,12_32,train,images,government_urban
DC_12_33_RGB.h5,data\GAMUS\images\train\DC_12_33_RGB.h5,GAMUS,DC,12_33,train,images,government_urban
DC_12_36_RGB.h5,data\GAMUS\images\train\DC_12_36_RGB.h5,GAMUS,DC,12_36,train,images,government_urban
DC_12_37_RGB.h5,data\GAMUS\images\train\DC_12_37_RGB.h5,GAMUS,DC,12_37,train,images,government_urban
DC_13_13_RGB.h5,data\GAMUS\images\train\DC_13_13_RGB.h5,GAMUS,DC,13_13,train,images,government_urban
DC_13_16_RGB.h5,data\GAMUS\images\train\DC_13_16_RGB.h5,GAMUS,DC,13_16,train,images,government_urban
DC_13_18_RGB.h5,data\GAMUS\images\train\DC_13_18_RGB.h5,GAMUS,DC,13_18,train,images,government_urban
DC_13_20_RGB.h5,data\GAMUS\images\train\DC_13_20_RGB.h5,GAMUS,DC,13_20,train,images,government_urban
DC_13_23_RGB.h5,data\GAMUS\images\train\DC_13_23_RGB.h5,GAMUS,DC,13_23,train,images,government_urban
DC_13_24_RGB.h5,data\GAMUS\images\train\DC_13_24_RGB.h5,GAMUS,DC,13_24,train,images,government_urban
DC_13_26_RGB.h5,data\GAMUS\images\train\DC_13_26_RGB.h5,GAMUS,DC,13_26,train,images,government_urban
DC_13_27_RGB.h5,data\GAMUS\images\train\DC_13_27_RGB.h5,GAMUS,DC,13_27,train,images,government_urban
DC_13_29_RGB.h5,data\GAMUS\images\train\DC_13_29_RGB.h5,GAMUS,DC,13_29,train,images,government_urban
DC_13_30_RGB.h5,data\GAMUS\images\train\DC_13_30_RGB.h5,GAMUS,DC,13_30,train,images,government_urban
DC_13_31_RGB.h5,data\GAMUS\images\train\DC_13_31_RGB.h5,GAMUS,DC,13_31,train,images,government_urban
DC_13_32_RGB.h5,data\GAMUS\images\train\DC_13_32_RGB.h5,GAMUS,DC,13_32,train,images,government_urban
DC_13_36_RGB.h5,data\GAMUS\images\train\DC_13_36_RGB.h5,GAMUS,DC,13_36,train,images,government_urban
DC_13_37_RGB.h5,data\GAMUS\images\train\DC_13_37_RGB.h5,GAMUS,DC,13_37,train,images,government_urban
DC_14_12_RGB.h5,data\GAMUS\images\train\DC_14_12_RGB.h5,GAMUS,DC,14_12,train,images,government_urban
DC_14_13_RGB.h5,data\GAMUS\images\train\DC_14_13_RGB.h5,GAMUS,DC,14_13,train,images,government_urban
DC_14_14_RGB.h5,data\GAMUS\images\train\DC_14_14_RGB.h5,GAMUS,DC,14_14,train,images,government_urban
DC_14_15_RGB.h5,data\GAMUS\images\train\DC_14_15_RGB.h5,GAMUS,DC,14_15,train,images,government_urban
DC_14_16_RGB.h5,data\GAMUS\images\train\DC_14_16_RGB.h5,GAMUS,DC,14_16,train,images,government_urban
DC_14_17_RGB.h5,data\GAMUS\images\train\DC_14_17_RGB.h5,GAMUS,DC,14_17,train,images,government_urban
DC_14_18_RGB.h5,data\GAMUS\images\train\DC_14_18_RGB.h5,GAMUS,DC,14_18,train,images,government_urban
DC_14_19_RGB.h5,data\GAMUS\images\train\DC_14_19_RGB.h5,GAMUS,DC,14_19,train,images,government_urban
DC_14_20_RGB.h5,data\GAMUS\images\train\DC_14_20_RGB.h5,GAMUS,DC,14_20,train,images,government_urban
DC_14_25_RGB.h5,data\GAMUS\images\train\DC_14_25_RGB.h5,GAMUS,DC,14_25,train,images,government_urban
DC_14_26_RGB.h5,data\GAMUS\images\train\DC_14_26_RGB.h5,GAMUS,DC,14_26,train,images,government_urban
DC_14_27_RGB.h5,data\GAMUS\images\train\DC_14_27_RGB.h5,GAMUS,DC,14_27,train,images,government_urban
DC_14_29_RGB.h5,data\GAMUS\images\train\DC_14_29_RGB.h5,GAMUS,DC,14_29,train,images,government_urban
DC_14_30_RGB.h5,data\GAMUS\images\train\DC_14_30_RGB.h5,GAMUS,DC,14_30,train,images,government_urban
DC_14_31_RGB.h5,data\GAMUS\images\train\DC_14_31_RGB.h5,GAMUS,DC,14_31,train,images,government_urban
DC_14_33_RGB.h5,data\GAMUS\images\train\DC_14_33_RGB.h5,GAMUS,DC,14_33,train,images,government_urban
DC_14_34_RGB.h5,data\GAMUS\images\train\DC_14_34_RGB.h5,GAMUS,DC,14_34,train,images,government_urban
DC_14_37_RGB.h5,data\GAMUS\images\train\DC_14_37_RGB.h5,GAMUS,DC,14_37,train,images,government_urban
DC_14_38_RGB.h5,data\GAMUS\images\train\DC_14_38_RGB.h5,GAMUS,DC,14_38,train,images,government_urban
DC_15_11_RGB.h5,data\GAMUS\images\train\DC_15_11_RGB.h5,GAMUS,DC,15_11,train,images,government_urban
DC_15_12_RGB.h5,data\GAMUS\images\train\DC_15_12_RGB.h5,GAMUS,DC,15_12,train,images,government_urban
DC_15_14_RGB.h5,data\GAMUS\images\train\DC_15_14_RGB.h5,GAMUS,DC,15_14,train,images,government_urban
DC_15_16_RGB.h5,data\GAMUS\images\train\DC_15_16_RGB.h5,GAMUS,DC,15_16,train,images,government_urban
DC_15_18_RGB.h5,data\GAMUS\images\train\DC_15_18_RGB.h5,GAMUS,DC,15_18,train,images,government_urban
DC_15_19_RGB.h5,data\GAMUS\images\train\DC_15_19_RGB.h5,GAMUS,DC,15_19,train,images,government_urban
DC_15_21_RGB.h5,data\GAMUS\images\train\DC_15_21_RGB.h5,GAMUS,DC,15_21,train,images,government_urban
DC_15_22_RGB.h5,data\GAMUS\images\train\DC_15_22_RGB.h5,GAMUS,DC,15_22,train,images,government_urban
DC_15_24_RGB.h5,data\GAMUS\images\train\DC_15_24_RGB.h5,GAMUS,DC,15_24,train,images,government_urban
DC_15_25_RGB.h5,data\GAMUS\images\train\DC_15_25_RGB.h5,GAMUS,DC,15_25,train,images,government_urban
DC_15_26_RGB.h5,data\GAMUS\images\train\DC_15_26_RGB.h5,GAMUS,DC,15_26,train,images,government_urban
DC_15_28_RGB.h5,data\GAMUS\images\train\DC_15_28_RGB.h5,GAMUS,DC,15_28,train,images,government_urban
DC_15_29_RGB.h5,data\GAMUS\images\train\DC_15_29_RGB.h5,GAMUS,DC,15_29,train,images,government_urban
DC_15_30_RGB.h5,data\GAMUS\images\train\DC_15_30_RGB.h5,GAMUS,DC,15_30,train,images,government_urban
DC_15_31_RGB.h5,data\GAMUS\images\train\DC_15_31_RGB.h5,GAMUS,DC,15_31,train,images,government_urban
DC_15_32_RGB.h5,data\GAMUS\images\train\DC_15_32_RGB.h5,GAMUS,DC,15_32,train,images,government_urban
DC_15_33_RGB.h5,data\GAMUS\images\train\DC_15_33_RGB.h5,GAMUS,DC,15_33,train,images,government_urban
DC_15_34_RGB.h5,data\GAMUS\images\train\DC_15_34_RGB.h5,GAMUS,DC,15_34,train,images,government_urban
DC_15_35_RGB.h5,data\GAMUS\images\train\DC_15_35_RGB.h5,GAMUS,DC,15_35,train,images,government_urban
DC_15_36_RGB.h5,data\GAMUS\images\train\DC_15_36_RGB.h5,GAMUS,DC,15_36,train,images,government_urban
DC_15_37_RGB.h5,data\GAMUS\images\train\DC_15_37_RGB.h5,GAMUS,DC,15_37,train,images,government_urban
DC_15_38_RGB.h5,data\GAMUS\images\train\DC_15_38_RGB.h5,GAMUS,DC,15_38,train,images,government_urban
DC_16_10_RGB.h5,data\GAMUS\images\train\DC_16_10_RGB.h5,GAMUS,DC,16_10,train,images,government_urban
DC_16_11_RGB.h5,data\GAMUS\images\train\DC_16_11_RGB.h5,GAMUS,DC,16_11,train,images,government_urban
DC_16_12_RGB.h5,data\GAMUS\images\train\DC_16_12_RGB.h5,GAMUS,DC,16_12,train,images,government_urban
DC_16_17_RGB.h5,data\GAMUS\images\train\DC_16_17_RGB.h5,GAMUS,DC,16_17,train,images,government_urban
DC_16_19_RGB.h5,data\GAMUS\images\train\DC_16_19_RGB.h5,GAMUS,DC,16_19,train,images,government_urban
DC_16_20_RGB.h5,data\GAMUS\images\train\DC_16_20_RGB.h5,GAMUS,DC,16_20,train,images,government_urban
DC_16_22_RGB.h5,data\GAMUS\images\train\DC_16_22_RGB.h5,GAMUS,DC,16_22,train,images,government_urban
DC_16_25_RGB.h5,data\GAMUS\images\train\DC_16_25_RGB.h5,GAMUS,DC,16_25,train,images,government_urban
DC_16_26_RGB.h5,data\GAMUS\images\train\DC_16_26_RGB.h5,GAMUS,DC,16_26,train,images,government_urban
DC_16_29_RGB.h5,data\GAMUS\images\train\DC_16_29_RGB.h5,GAMUS,DC,16_29,train,images,government_urban
DC_16_30_RGB.h5,data\GAMUS\images\train\DC_16_30_RGB.h5,GAMUS,DC,16_30,train,images,government_urban
DC_16_31_RGB.h5,data\GAMUS\images\train\DC_16_31_RGB.h5,GAMUS,DC,16_31,train,images,government_urban
DC_16_32_RGB.h5,data\GAMUS\images\train\DC_16_32_RGB.h5,GAMUS,DC,16_32,train,images,government_urban
DC_16_34_RGB.h5,data\GAMUS\images\train\DC_16_34_RGB.h5,GAMUS,DC,16_34,train,images,government_urban
DC_16_35_RGB.h5,data\GAMUS\images\train\DC_16_35_RGB.h5,GAMUS,DC,16_35,train,images,government_urban
DC_16_36_RGB.h5,data\GAMUS\images\train\DC_16_36_RGB.h5,GAMUS,DC,16_36,train,images,government_urban
DC_16_39_RGB.h5,data\GAMUS\images\train\DC_16_39_RGB.h5,GAMUS,DC,16_39,train,images,government_urban
DC_16_40_RGB.h5,data\GAMUS\images\train\DC_16_40_RGB.h5,GAMUS,DC,16_40,train,images,government_urban
DC_17_09_RGB.h5,data\GAMUS\images\train\DC_17_09_RGB.h5,GAMUS,DC,17_09,train,images,government_urban
DC_17_10_RGB.h5,data\GAMUS\images\train\DC_17_10_RGB.h5,GAMUS,DC,17_10,train,images,government_urban
DC_17_13_RGB.h5,data\GAMUS\images\train\DC_17_13_RGB.h5,GAMUS,DC,17_13,train,images,government_urban
DC_17_14_RGB.h5,data\GAMUS\images\train\DC_17_14_RGB.h5,GAMUS,DC,17_14,train,images,government_urban
DC_17_16_RGB.h5,data\GAMUS\images\train\DC_17_16_RGB.h5,GAMUS,DC,17_16,train,images,government_urban
DC_17_17_RGB.h5,data\GAMUS\images\train\DC_17_17_RGB.h5,GAMUS,DC,17_17,train,images,government_urban
DC_17_18_RGB.h5,data\GAMUS\images\train\DC_17_18_RGB.h5,GAMUS,DC,17_18,train,images,government_urban
DC_17_21_RGB.h5,data\GAMUS\images\train\DC_17_21_RGB.h5,GAMUS,DC,17_21,train,images,government_urban
DC_17_22_RGB.h5,data\GAMUS\images\train\DC_17_22_RGB.h5,GAMUS,DC,17_22,train,images,government_urban
DC_17_23_RGB.h5,data\GAMUS\images\train\DC_17_23_RGB.h5,GAMUS,DC,17_23,train,images,government_urban
DC_17_24_RGB.h5,data\GAMUS\images\train\DC_17_24_RGB.h5,GAMUS,DC,17_24,train,images,government_urban
DC_17_26_RGB.h5,data\GAMUS\images\train\DC_17_26_RGB.h5,GAMUS,DC,17_26,train,images,government_urban
DC_17_27_RGB.h5,data\GAMUS\images\train\DC_17_27_RGB.h5,GAMUS,DC,17_27,train,images,government_urban
DC_17_28_RGB.h5,data\GAMUS\images\train\DC_17_28_RGB.h5,GAMUS,DC,17_28,train,images,government_urban
DC_17_30_RGB.h5,data\GAMUS\images\train\DC_17_30_RGB.h5,GAMUS,DC,17_30,train,images,government_urban
DC_17_31_RGB.h5,data\GAMUS\images\train\DC_17_31_RGB.h5,GAMUS,DC,17_31,train,images,government_urban
DC_17_32_RGB.h5,data\GAMUS\images\train\DC_17_32_RGB.h5,GAMUS,DC,17_32,train,images,government_urban
DC_17_33_RGB.h5,data\GAMUS\images\train\DC_17_33_RGB.h5,GAMUS,DC,17_33,train,images,government_urban
DC_17_34_RGB.h5,data\GAMUS\images\train\DC_17_34_RGB.h5,GAMUS,DC,17_34,train,images,government_urban
DC_17_35_RGB.h5,data\GAMUS\images\train\DC_17_35_RGB.h5,GAMUS,DC,17_35,train,images,government_urban
DC_17_39_RGB.h5,data\GAMUS\images\train\DC_17_39_RGB.h5,GAMUS,DC,17_39,train,images,government_urban
DC_17_40_RGB.h5,data\GAMUS\images\train\DC_17_40_RGB.h5,GAMUS,DC,17_40,train,images,government_urban
DC_17_41_RGB.h5,data\GAMUS\images\train\DC_17_41_RGB.h5,GAMUS,DC,17_41,train,images,government_urban
DC_18_08_RGB.h5,data\GAMUS\images\train\DC_18_08_RGB.h5,GAMUS,DC,18_08,train,images,government_urban
DC_18_10_RGB.h5,data\GAMUS\images\train\DC_18_10_RGB.h5,GAMUS,DC,18_10,train,images,government_urban
DC_18_11_RGB.h5,data\GAMUS\images\train\DC_18_11_RGB.h5,GAMUS,DC,18_11,train,images,government_urban
DC_18_12_RGB.h5,data\GAMUS\images\train\DC_18_12_RGB.h5,GAMUS,DC,18_12,train,images,government_urban
DC_18_14_RGB.h5,data\GAMUS\images\train\DC_18_14_RGB.h5,GAMUS,DC,18_14,train,images,government_urban
DC_18_15_RGB.h5,data\GAMUS\images\train\DC_18_15_RGB.h5,GAMUS,DC,18_15,train,images,government_urban
DC_18_16_RGB.h5,data\GAMUS\images\train\DC_18_16_RGB.h5,GAMUS,DC,18_16,train,images,government_urban
DC_18_18_RGB.h5,data\GAMUS\images\train\DC_18_18_RGB.h5,GAMUS,DC,18_18,train,images,government_urban
DC_18_19_RGB.h5,data\GAMUS\images\train\DC_18_19_RGB.h5,GAMUS,DC,18_19,train,images,government_urban
DC_18_21_RGB.h5,data\GAMUS\images\train\DC_18_21_RGB.h5,GAMUS,DC,18_21,train,images,government_urban
DC_18_22_RGB.h5,data\GAMUS\images\train\DC_18_22_RGB.h5,GAMUS,DC,18_22,train,images,government_urban
DC_18_25_RGB.h5,data\GAMUS\images\train\DC_18_25_RGB.h5,GAMUS,DC,18_25,train,images,government_urban
DC_18_26_RGB.h5,data\GAMUS\images\train\DC_18_26_RGB.h5,GAMUS,DC,18_26,train,images,government_urban
DC_18_27_RGB.h5,data\GAMUS\images\train\DC_18_27_RGB.h5,GAMUS,DC,18_27,train,images,government_urban
DC_18_30_RGB.h5,data\GAMUS\images\train\DC_18_30_RGB.h5,GAMUS,DC,18_30,train,images,government_urban
DC_18_31_RGB.h5,data\GAMUS\images\train\DC_18_31_RGB.h5,GAMUS,DC,18_31,train,images,government_urban
DC_18_32_RGB.h5,data\GAMUS\images\train\DC_18_32_RGB.h5,GAMUS,DC,18_32,train,images,government_urban
DC_18_33_RGB.h5,data\GAMUS\images\train\DC_18_33_RGB.h5,GAMUS,DC,18_33,train,images,government_urban
DC_18_34_RGB.h5,data\GAMUS\images\train\DC_18_34_RGB.h5,GAMUS,DC,18_34,train,images,government_urban
DC_18_35_RGB.h5,data\GAMUS\images\train\DC_18_35_RGB.h5,GAMUS,DC,18_35,train,images,government_urban
DC_18_37_RGB.h5,data\GAMUS\images\train\DC_18_37_RGB.h5,GAMUS,DC,18_37,train,images,government_urban
DC_18_38_RGB.h5,data\GAMUS\images\train\DC_18_38_RGB.h5,GAMUS,DC,18_38,train,images,government_urban
DC_18_40_RGB.h5,data\GAMUS\images\train\DC_18_40_RGB.h5,GAMUS,DC,18_40,train,images,government_urban
DC_18_41_RGB.h5,data\GAMUS\images\train\DC_18_41_RGB.h5,GAMUS,DC,18_41,train,images,government_urban
DC_18_42_RGB.h5,data\GAMUS\images\train\DC_18_42_RGB.h5,GAMUS,DC,18_42,train,images,government_urban
DC_19_07_RGB.h5,data\GAMUS\images\train\DC_19_07_RGB.h5,GAMUS,DC,19_07,train,images,government_urban
DC_19_08_RGB.h5,data\GAMUS\images\train\DC_19_08_RGB.h5,GAMUS,DC,19_08,train,images,government_urban
DC_19_09_RGB.h5,data\GAMUS\images\train\DC_19_09_RGB.h5,GAMUS,DC,19_09,train,images,government_urban
DC_19_10_RGB.h5,data\GAMUS\images\train\DC_19_10_RGB.h5,GAMUS,DC,19_10,train,images,government_urban
DC_19_11_RGB.h5,data\GAMUS\images\train\DC_19_11_RGB.h5,GAMUS,DC,19_11,train,images,government_urban
DC_19_12_RGB.h5,data\GAMUS\images\train\DC_19_12_RGB.h5,GAMUS,DC,19_12,train,images,government_urban
DC_19_13_RGB.h5,data\GAMUS\images\train\DC_19_13_RGB.h5,GAMUS,DC,19_13,train,images,government_urban
DC_19_14_RGB.h5,data\GAMUS\images\train\DC_19_14_RGB.h5,GAMUS,DC,19_14,train,images,government_urban
DC_19_15_RGB.h5,data\GAMUS\images\train\DC_19_15_RGB.h5,GAMUS,DC,19_15,train,images,government_urban
DC_19_18_RGB.h5,data\GAMUS\images\train\DC_19_18_RGB.h5,GAMUS,DC,19_18,train,images,government_urban
DC_19_19_RGB.h5,data\GAMUS\images\train\DC_19_19_RGB.h5,GAMUS,DC,19_19,train,images,government_urban
DC_19_20_RGB.h5,data\GAMUS\images\train\DC_19_20_RGB.h5,GAMUS,DC,19_20,train,images,government_urban
DC_19_22_RGB.h5,data\GAMUS\images\train\DC_19_22_RGB.h5,GAMUS,DC,19_22,train,images,government_urban
DC_19_23_RGB.h5,data\GAMUS\images\train\DC_19_23_RGB.h5,GAMUS,DC,19_23,train,images,government_urban
DC_19_25_RGB.h5,data\GAMUS\images\train\DC_19_25_RGB.h5,GAMUS,DC,19_25,train,images,government_urban
DC_19_29_RGB.h5,data\GAMUS\images\train\DC_19_29_RGB.h5,GAMUS,DC,19_29,train,images,government_urban
DC_19_30_RGB.h5,data\GAMUS\images\train\DC_19_30_RGB.h5,GAMUS,DC,19_30,train,images,government_urban
DC_19_32_RGB.h5,data\GAMUS\images\train\DC_19_32_RGB.h5,GAMUS,DC,19_32,train,images,government_urban
DC_19_33_RGB.h5,data\GAMUS\images\train\DC_19_33_RGB.h5,GAMUS,DC,19_33,train,images,government_urban
DC_19_34_RGB.h5,data\GAMUS\images\train\DC_19_34_RGB.h5,GAMUS,DC,19_34,train,images,government_urban
